QA,PumpGroup,NameGroup,Source,CIVM_ID,Treatment,BadeaID,Genotype,Sex,DOB,Weight,Perfusion ,Age_Months,Age_Imaging,Age_Years,Age_Label,Specimens ID,DWI,GRE,T1,T2,Notes,AgeExVivoMRI,Diet,Age_Handling
,XV,13,In House,220207-13:0,Control,220207-13,APOE33HN,female ,8/10/20,29,4/6/22,20.13,20,1.666666667,,220207-13:1,,,,,,20.13,Control,18.43333333
,XV,14,In House,220207-14:0,HFD,220207-14,APOE33HN,female ,8/10/20,58,4/6/22,20.13,20,1.666666667,,220207-14:1,,,,,,20.13,HFD,18.43333333
,XV,15,In House,220207-15:0,HFD,220207-15,APOE33HN,female ,8/10/20,51,4/6/22,20.13,20,1.666666667,,220207-15:1,,,,,,20.13,HFD,18.43333333
,XV,16,In House,220207-16:0,HFD,220207-16,APOE33HN,female ,8/10/20,56,4/6/22,20.13,20,1.666666667,,220207-16:1,,,,,,20.13,HFD,18.43333333
,XV,17,In House,220207-17:0,HFD,220207-17,APOE33HN,female ,8/10/20,50,4/6/22,20.13,20,1.666666667,,220207-17:1,,,,,,20.13,HFD,18.43333333
,XV,19,In House,220207-19:0,Control,220207-19,APOE33HN,male,8/14/20,33,4/14/22,20.27,20,1.666666667,,220207-19:1,,,,,,20.26666667,Control,18.3
,XV,20,In House,220207-20:0,Control,220207-20,APOE33HN,male,8/14/20,38,4/14/22,20.27,20,1.666666667,,220207-20:1,,,,,,20.26666667,Control,18.3
,XV,21,In House,220207-21:0,Control,220207-21,APOE33HN,male,8/14/20,37,4/14/22,20.27,20,1.666666667,,220207-21:1,,,,,,20.26666667,Control,18.3
,XV,22,In House,220207-22:0,Control,220207-22,APOE33HN,male,9/7/20,34,4/14/22,19.47,19,1.583333333,,220207-22:1,,,,,,19.46666667,Control,17.5
,XV,23,In House,220207-23:0,Control,220207-23,APOE33HN,male,9/7/20,32,4/14/22,19.47,19,1.583333333,,220207-23:1,,,,,,19.46666667,Control,17.5
,XV,24,In House,220207-24:0,HFD,220207-24,APOE33HN,male,8/20/20,33,4/13/22,20.03,20,1.666666667,,220207-24:1,,,,,,20.03333333,HFD,18.1
,XV,25,In House,220207-25:0,HFD,220207-25,APOE33HN,male,8/20/20,32,4/13/22,20.03,20,1.666666667,,220207-25:1,,,,,,20.03333333,HFD,18.1
,XVI,1,In House,220307-1:0,Control,220307-1,APOE33HN,female ,8/24/20,32,5/11/22,20.83,21,1.75,,220307-1:1,,,,,,20.83333333,Control,18.9
,XVI,2,In House,220307-2:0,Control,220307-2,APOE33HN,female ,8/24/20,26,5/11/22,20.83,21,1.75,,220307-2:1,,,,,,20.83333333,Control,18.9
,XVI,3,In House,220307-4:0,Control,220307-4,APOE33HN,female ,8/24/20,26,5/11/22,20.83,21,1.75,,220307-4:1,,,,,,20.83333333,Control,18.9
,XVI,4,In House,220307-5:0,Control,220307-5,APOE33HN,female ,8/24/20,25,5/11/22,20.83,21,1.75,,220307-5:1,,,,,,20.83333333,Control,18.9
,XVI,5,In House,220307-6:0,Control,220307-6,APOE22HN,male,10/12/20,29,5/18/22,19.43,19,1.583333333,,220307-6:1,,,,,,19.43333333,Control,17.26666667
,XVI,6,In House,220307-7:0,Control,220307-7,APOE22HN,male,10/12/20,31,5/18/22,19.43,19,1.583333333,,220307-7:1,,,,,,19.43333333,Control,17.26666667
,XVI,7,In House,220307-8:0,Control,220307-8,APOE22HN,male,10/12/20,30,5/18/22,19.43,19,1.583333333,,220307-8:1,,,,,,19.43333333,Control,17.26666667
,XVI,8,In House,220307-9:0,Control,220307-9,APOE22HN,female ,10/12/20,27,5/18/22,19.43,19,1.583333333,,220307-9:1,,,,,,19.43333333,Control,17.26666667
,XVI,9,In House,220307-10:0,Control,220307-10,APOE22HN,female ,10/12/20,26,5/19/22,19.47,19,1.583333333,,220307-10:1,,,,,,19.46666667,Control,17.26666667
,XVI,10,In House,220307-11:0,Control,220307-11,APOE22HN,female ,10/12/20,21,5/19/22,19.47,19,1.583333333,,220307-11:1,,,,,,19.46666667,Control,17.26666667
,XVI,11,In House,220307-12:0,Control,220307-12,APOE22HN,female ,10/12/20,26,5/19/22,19.47,19,1.583333333,,220307-12:1,,,,,,19.46666667,Control,17.26666667
,XVI,12,In House,220307-13:0,Control,220307-13,APOE22HN,female ,10/12/20,28,5/19/22,19.47,19,1.583333333,,220307-13:1,,,,,,19.46666667,Control,17.26666667
,XVI,13,In House,220307-14:0,Control,220307-14,APOE33HN,male,8/10/20,33,5/12/22,21.33,21,1.75,,220307-14:1,,,,,,21.33333333,Control,19.36666667
,XVI,14,In House,220307-15:0,Control,220307-15,APOE33HN,male,8/10/20,32,5/12/22,21.33,21,1.75,,220307-15:1,,,,,,21.33333333,Control,19.36666667
,XVI,15,In House,220307-16:0,Control,220307-16,APOE33HN,male,8/10/20,33,5/12/22,21.33,21,1.75,,220307-16:1,,,,,,21.33333333,Control,19.36666667
,XVI,16,In House,220307-17:0,Control,220307-17,APOE33HN,male,8/10/20,32,5/12/22,21.33,21,1.75,,220307-17:1,,,,,,21.33333333,Control,19.36666667
,XVII,1,In House,220404-1:0,HFD,220404-1,APOE22,female ,4/5/21,30,6/22/22,14.8,15,1.22,,220404-1:1,,,,,,14.8,HFD,12.36666667
,XVII,2,In House,220404-2:0,HFD,220404-2,APOE22,female ,4/5/21,37,6/22/22,14.8,15,1.22,,220404-2:1,,,,,,14.8,HFD,12.36666667
,XVII,3,In House,220404-3:0,HFD,220404-3,APOE22,female ,4/5/21,40,6/22/22,14.8,15,1.22,,220404-3:1,,,,,,14.8,HFD,12.36666667
,XVII,4,In House,220404-4:0,HFD,220404-4,APOE22,female ,4/5/21,39,6/22/22,14.8,15,1.22,,220404-4:1,,,,,,14.8,HFD,12.36666667
,XVII,5,In House,220404-5:0,HFD,220404-5,APOE22,female ,6/20/21,29,6/22/22,12.26666667,12,1.01,,220404-5:1,,,,,,12.26666667,HFD,9.833333333
,XVII,6,In House,220404-6:0,HFD,220404-6,APOE22,male,4/5/21,43,6/22/22,14.8,15,1.22,,220404-6:1,,,,,,14.8,HFD,12.36666667
,XVII,7,In House,220404-7:0,HFD,220404-7,APOE22,male,4/5/21,51,6/22/22,14.8,15,1.22,,220404-7:1,,,,,,14.8,HFD,12.36666667
,XVII,8,In House,220404-8:0,HFD,220404-8,APOE22,male,4/17/21,41,6/23/22,14.4,14,1.18,,220404-8:1,,,,,,14.4,HFD,11.96666667
,XVII,9,In House,220404-9:0,HFD,220404-9,APOE22,male,4/17/21,39,6/23/22,14.4,14,1.18,,220404-9:1,,,,,,14.4,HFD,11.96666667
,XVII,10,In House,220404-10:0,HFD,220404-10,APOE22,male,4/17/21,48,6/23/22,14.4,14,1.18,,220404-10:1,,,,,,14.4,HFD,11.96666667
,XVII,11,In House,220404-11:0,Control,220404-11,APOE22HN,male,9/24/20,32,6/23/22,21.23333333,21,1.75,,220404-11:1,,,,,,21.23333333,Control,18.8
,XVII,13,In House,220404-13:0,Control,220404-13,APOE22HN,male,9/24/20,35,6/23/22,21.23333333,21,1.75,,220404-13:1,,,,,,21.23333333,Control,18.8
,XVlll,1,In House,220509-1,HFD,220509-1,APOE22,male,11/9/20,,7/13/22,20.23333333,20,1.67,,,,,,,,,HFD,18.2
,XVlll,2,In House,220509-4,HFD,220509-4,APOE22,female,11/9/20,,7/13/22,20.23333333,20,1.67,,,,,,,,,HFD,18.2
,XVlll,3,In House,220509-6,HFD,220509-6,APOE22,female,11/9/20,,7/13/22,20.23333333,20,1.67,,,,,,,,,HFD,18.2
,XVlll,4,In House,220509-7,HFD,220509-7,APOE33,male,10/3/20,,7/13/22,21.46666667,21,1.77,,,,,,,,,HFD,19.43333333
,XVlll,5,In House,220509-8,HFD,220509-8,APOE33,female,11/5/20,,7/13/22,20.36666667,20,1.68,,,,,,,,,HFD,18.33333333
,XVlll,6,In House,220509-10,HFD,220509-10,APOE33,female,11/5/20,,7/13/22,20.36666667,20,1.68,,,,,,,,,HFD,18.33333333
,XVlll,7,In House,220509-11,Control,220509-11,APOE44,female,11/30/20,,7/13/22,19.53333333,20,1.61,,,,,,,,,Control,17.5
,XVlll,8,In House,220509-12,Control,220509-12,APOE22,female,6/2/21,,7/13/22,13.4,13,1.1,,,,,,,,,Control,11.36666667
,XVlll,9,In House,220509-13,Control,220509-13,APOE22,female,6/9/21,,7/13/22,13.16666667,13,1.08,,,,,,,,,Control,11.13333333
,XVlll,10,In House,220509-14,Control,220509-14,APOE22,female,6/9/21,,7/13/22,13.16666667,13,1.08,,,,,,,,,Control,11.13333333
,XVlll,1,In House,220606-1,Control,220606-1,APOE33HN,male,1/6/21,,,,,,,,,,,,,,Control,17.2
,XVlll,2,In House,220606-2,Control,220606-2,APOE44HN,female,11/30/20,,,,,,,,,,,,,,Control,18.43333333
,XVlll,3,In House,220606-3,Control,220606-3,APOE44HN,female,11/30/20,,,,,,,,,,,,,,Control,18.43333333
,XVlll,4,In House,220606-4,Control,220606-4,APOE44HN,female,11/30/20,,,,,,,,,,,,,,Control,18.43333333
,XVlll,5,In House,220606-5,Control,220606-5,APOE44HN,female,11/30/20,,,,,,,,,,,,,,Control,18.43333333
,XVlll,6,In House,220606-6,Control,220606-6,APOE44HN,female,11/30/20,,,,,,,,,,,,,,Control,18.43333333
,XVlll,7,In House,220606-7,HFD,220606-7,APOE44,male,11/30/20,,,,,,,,,,,,,,HFD,18.43333333
,XVlll,8,In House,220606-8,HFD,220606-8,APOE44,male,11/30/20,,,,,,,,,,,,,,HFD,18.43333333
,XVlll,9,In House,220606-9,Control,220606-9,APOE44,female,11/30/20,,,,,,,,,,,,,,Control,18.43333333
,XVlll,10,In House,220606-10,Control,220606-10,APOE44,female,11/30/20,,,,,,,,,,,,,,Control,18.43333333
,XVlll,11,In House,220606-11,Control,220606-11,APOE44,male,6/9/21,,,,,,,,,,,,,,Control,12.06666667
,XVlll,12,In House,220606-12,Control,220606-12,APOE44,male,6/9/21,,,,,,,,,,,,,,Control,12.06666667
,XVlll,13,In House,220606-13,Control,220606-13,APOE44,male,6/9/21,,,,,,,,,,,,,,Control,12.06666667
,XVlll,14,In House,220606-14,Control,220606-14,APOE44,male,6/9/21,,,,,,,,,,,,,,Control,12.06666667
Died,,,In House,,HFD,210112-10,APOE44HN,male,4/21/20,,8/17/21,,,,,,,,,,,,HFD,11.7
,,,In House,,Control,210112-13,APOE44HN,female,4/21/20,,8/17/21,,,,,,,,,,,,Control,11.7
,,,In House,,Control,210201-1,APOE33,female,1/2/20,,6/9/21,,,,,,,,,,,,Control,13.2
Died,,,In House,,Control,210503-10,APOE33,female,11/2/19,,,,,,,,,,,,,,Control,18.27
Died,,,In House,,Control,210809-1,APOE33HN,female,8/20/20,,11/10/21,,,,,,,,,,,,Control,11.8
RNA,,,In House,,HFD,210906-19,APOE44,male,10/3/20,,1/6/22,,,,,,,,,,,,HFD,11.26666667
RNA,,,In House,,HFD,210906-20,APOE44,male,10/3/20,,1/6/22,,,,,,,,,,,,HFD,11.26666667
RNA,,,In House,,HFD,210906-21,APOE44,male,10/3/20,,1/6/22,,,,,,,,,,,,HFD,11.26666667
RNA,,,In House,,HFD,210906-22,APOE44,male,10/3/20,,1/6/22,,,,,,,,,,,,HFD,11.27
RNA,,,In House,,Control,210906-23,APOE44,female,9/30/20,,1/6/22,,,,,,,,,,,,Control,11.37
RNA,,,In House,,Control,210906-24,APOE44,female,9/30/20,,1/6/22,,,,,,,,,,,,Control,11.37
Died,,,In House,,HFD,220207-18,APOE33HN,female,8/10/20,,,,,,,,,,,,,,HFD,18.43
Died,,,In House,,Control,220404-12,APOE22HN,male,9/24/20,,,,,,,,,,,,,,Control,18.8
